"","company","gi_page","name","value"
"1","reports/diversified_gas_oil/2020/sustainability_report_2019_sustainable_assets_create_longterm_value.pdf","50","1","No GRI code found"
"2","reports/diversified_gas_oil/2020/sustainability_report_2019_sustainable_assets_create_longterm_value.pdf","nothing found","No pages/tables found","None"
"3","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","70","1","No GRI code found"
"4","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","71","1","No GRI code found"
"5","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","72","1","No GRI code found"
"6","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","73","GRI 403-2","character(0)"
"7","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","73","GRI 404-2","character(0)"
"8","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 409 Forced or compulsory labour","68"
"9","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 409-1","68"
"10","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 414 Supplier Social Assessment","character(0)"
"11","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 414-1","character(0)"
"12","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 414-2","67"
"13","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 416 Customer health and safety","25"
"14","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 416-1","25"
"15","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 417 Marketing and Labelling","character(0)"
"16","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 417-1","35"
"17","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 418 Customer Privacy","28"
"18","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","GRI 418-1 breaches of customer privacy and losses of","30"
"19","reports/11_drillisch_ag/2020/sustainability_report_2020.pdf","74","","No GRI code found"
"20","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"21","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","31","1","No GRI code found"
"22","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","31","2","No GRI code found"
"23","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","32","1","No GRI code found"
"24","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","32","2","No GRI code found"
"25","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"26","reports/11_drillisch_ag/2019/sustainability_report_2018.pdf","34","1","No GRI code found"
"27","reports/11_drillisch_ag/2018/sustainability_report_2017.pdf","nothing found","No pages/tables found","None"
"28","reports/11_drillisch_ag/2018/sustainability_report_2017.pdf","nothing found","No pages/tables found","None"
"29","reports/11_drillisch_ag/2018/sustainability_report_2017.pdf","nothing found","No pages/tables found","None"
"30","reports/11_drillisch_ag/2018/sustainability_report_2017.pdf","nothing found","No pages/tables found","None"
"31","reports/11_drillisch_ag/2018/sustainability_report_2017.pdf","22","1","No GRI code found"
"32","reports/37_interactive_enter/2019/2018_social_responsibility_report_of_wuhu_shunrong_sanqi_interactive_entertainment_network_technology_co_ltd.pdf","39","1","No GRI code found"
"33","reports/37_interactive_enter/2019/2018_social_responsibility_report_of_wuhu_shunrong_sanqi_interactive_entertainment_network_technology_co_ltd.pdf","40","1","No GRI code found"
"34","reports/37_interactive_enter/2019/2018_social_responsibility_report_of_wuhu_shunrong_sanqi_interactive_entertainment_network_technology_co_ltd.pdf","41","1","No GRI code found"
