Id,Company_Name,Company_Type,Sales_Growth,Annual_Revenue_US$M,No_of_Employees,Phone_numberTelephone,Company_Summary,Swot_Overview,Headquarters_Address_line1,Headquarters_Address_Line2,Headquarters_Zip_Code,Ticker_Exchange,Thomson_Rep_No,Annual_Revenue_Year,Fiscal_Year_End,Fax,URL,Incorporation_Year,Products,Services,Brands,Entity_Type,Headquarters,Headquarters_StateProvince,Headquarters_City,Primary_Sector,Company_Themes,Deal_Count,Deal_Value,Investors_Count,Investor_Names,Advisors_Count,Last_MA_Co,Funding Rounds,Total_Funding_US$m,Last__funding_date,Days_since_last_funding,Round Of Financing (Last),Deal_Subtype_1_Last,Deal_Subtype_2_Last,Deal_Subtype_3_Last,Deal_Subtype_4_Last,News_Count,Patents_Count,Patents_Filings_Count,Patents_Grants_Count,Fillings_Count,Filings_Sentiment,Filings_Mentions,Active_Jobs,Posted_Jobs,Closed_Jobs,Total_Projects_Count,Projects_Count,Total_Noof_Mining_Projects,Noof_Mining_Projects,Install_Base_Counts,Estimated_ICT_Spends,Net_Income_US$m,Operating_Income_US$m,Research_and_Development_USD,Cash_And_Equivalents_USD,Total_Assets_USD,Total_Liabilities_USD,EVSales_,Market_Cap_US$m,Enterprise_Value_US$m,PE_Ratio_,EVEBITDA_,Capital_Raised_Past_3_Years_US$m,Grants_Received_Past_3_Years_US$m,Gross_Margin_,Net_Profit_Margin_,Operating_Margin_,PBT_Margin_,Profit_Markup_,Return_on_Assets_,Return_on_Capital_Employed_,Return_on_Equity_,Return_on_Fixed_Assets_ROFA_,Return_on_Working_Capital_,EBITDA_Growth_,EPS_Growth_,Net_Income_Growth_,Operating_Income_Growth_,Sales_Growth_,Working_Capital_Growth_,Book_Value_per_Share_USD,Cash_Value_per_Share_USD,Dividend_per_share_USD,Dividend_Yield_,Diluted_EPS_US$,Administration_costs_,Overhead_costs_,Cash_Ratio_Absolute,Current_Ratio_Absolute,Quick_Ratio_Absolute,Debt_to_Equity_Ratio_Absolute,Debt_to_Capital_Ratio_Absolute,Net_Debt_to_Equity_Absolute,Asset_Turnover_Absolute,Capex_to_sales_,Capital_Employed_Turnover_Absolute,Current_Asset_Turnover_Absolute,Fixed_Asset_Turnover_Absolute,Inventory_Turnover_Absolute,R_and_D_to_Sales_,Working_Capital_Turnover_Absolute,Net_Income_per_Employee_USD,Revenue_per_Employee_USD,Market_Capitalization_Million_USD,PE_PriceEarnings_Ratio,Enterprise_ValueOperating_Profit,Dividend_Yield,Enterprise_ValueTotal_Assets,EVEBITDA,Enterprise_ValueSales,Enterprise_ValueMillion_USD
115562,Volkswagen AG,Public,###############################################################################################################################################################################################################################################################,254085.73,674849,49 5361 90,"Volkswagen AG (Volkswagen), a subsidiary of Porsche Automobil Holding SE, is an automobile manufacturer. The company develops vehicles and engines, and produces and sells passenger cars, trucks, buses and motorcycles, light commercial vehicles, genuine parts, turbomachinery, large-bore diesel engines, propulsion components, special gear units and testing systems. It also provides leasing, banking and insurance, dealer and customer financing, and fleet management and mobility services. Volkswagen markets products under brands such as Volkswagen, Porsche, Bugatti, Lamborghini, Bentley, Audi, Ducati, Scania and MAN. It has operations in Europe, North America, South America, Asia Pacific and other regions. The company has production facilities across the world. Volkswagen is headquartered in Wolfsburg, Niedersachsen, Germany.","Volkswagen AG (Volkswagen) develops vehicles and engines, and produces and sells passenger and light commercial vehicles. An established market position, focused R&D and increase in net working capital are its strengths, even as debt and business performance of Automotive Division segment could be causes for concern. The company could benefit from the market outlook for Electric Vehicles , launch of new products and strategic agreements and contracts. However, regional and economic influences, competition and raw material price fluctuations could affect its operations.",Berliner Ring 2,,38440,VOW3,A46AF,,12,49 5361 928282,www.volkswagenag.com,1937,Products:  Passenger Cars Luxury Sedans  Sport Utility Vehicles Buses Heavy Trucks Coaches Marine and Industrial Engines Light Commercial Vehicles,Services:  Dealer and Customer Financing Banking and Insurance Activities Leasing Fleet Management,Brands:  Volkswagen Porsche SEAT SKODA Lamborghini Bugatti Bentley Audi Ducati Scania MAN Jetta,Subsidiary,Germany,,Wolfsburg,Automotive,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,10108.3,11029.41,0,38655.95,566705.43,421870.72,1.09,123061.47,284333.78,13,,0,0,18,3.98,4.34,5.23,21.96,1.8,2.92,6.98,8.43,32.76,-11.7,-34.07,-36.15,-42.95,-11.78,51.15,253.44,67.64,4.86,2.56,22.38,13.05,95.66,,1.18,0.91,1.58,0.61,1.04,0.45,5.06,0.67,1.17,1.94,4.04,0,7.55,13139.24,330272.4,109940.5,13,21.38,2.56,0.5,6.52,1.09,249417.6
103161,Daimler AG,Public,###############################################################################################################################################################################################################################################################,175910.85,289282,49 711 170,"Daimler AG (Daimler) is an automobile company. It develops, produces and distributes automobiles, trucks, vans and buses. The company also provides financing, leasing, fleet management, insurance and mobility services. Daimler markets its offerings under various brands including Mercedes-Benz, smart, Freightliner, Western Star, FUSO, BharatBenz, Thomas Built Buses and Setra among others. It has operations across Europe, NAFTA, Asia and other markets. Daimler has production, distribution, sales and other facilities in North America, South America, Europe, Asia, Australia and Pacific and Africa. The company has partnership with Beiqi Foton Motor Co Ltd to produce trucks under the Auman brand in China. Daimler is headquartered in Stuttgart, Baden-Wurttemberg, Germany.","Daimler AG (Daimler) develops, produces and distributes automobiles, trucks, vans and buses. An established market position and substantial operational presence are its strengths, even as product recalls and decline in revenue could be causes for concern. The company could benefit from market outlook for electric vehicles, launch of new products and services and partnerships. However, regional and economic influences, competition and raw material price fluctuations could affect its operations.",Mercedesstrasse 120,,70372,DAI,A558F,,12,49 711 1722244,www.daimler.com,1883,Products:  Passenger Cars Two-Seater Cars Trucks Vans Buses Diesel Engines  Accessories,Services:  Financial Services:  Financing Dealers for Property Financing Plant and Equipment Purchases Vehicle Inventory Finance Insurance Brokerage Services Refinance Fleet management  Banking services Car rental services Mobility Services,Brands:  Maybach Mercedes-Benz Fuso Freightliner Western Star BharatBenz Thomas Built Buses Setra Mercedes-Benz Bank Mercedes-Benz Financial EQ  Athlon Auman,Parent,Germany,,Stuttgart,Automotive,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4134.75,7022.34,6936.84,26274.51,325737.57,256550.39,1.36,82861.66,223325.83,21.22,,0,0,18.1,2.35,3.99,4.11,22.1,1.23,3.31,5.98,7.19,39.86,27.6,-18.39,52.59,50.39,-10.67,-29.74,56.73,21.54,1.35,1.25,5.84,9.35,96.01,,1.15,0.89,2.4,0.71,1.93,0.52,5.55,0.83,1.27,1.8,4.5,0.04,9.98,12537.94,533420.7,73626.21,21.22,30.9,1.25,0.69,12.81,1.36,195901.41
2467130,Allianz Global Reinsurance,Private,1900-01-00,159603.09,0,49 89 38000,"Allianz Global Reinsurance (Allianz Re), a part of Allianz Group, is a provider of reinsurance solutions, worldwide. It offers reinsurance products for casualty, property, engineering, marine, credit, agricultural, motor, and life and health. Allianz Re also offers risk management, underwriting, natural catastrophe management and allianz climate solutions. It also offers medical assessment for death and living benefits, avocation, occupation, financial underwriting, travel and residence as well as claims assessment through its internet-based underwriting manual, Allianz Reinsurance Underwriting Manual. The company serves its clients in various countries across the world. It has its offices in Ireland, Singapore and Switzerland. Allianz Re is headquartered in Munich, Germany.  Allianz Re reported gross written premium of EUR6,651 million during fiscal year ended December 2018 (FY2018), an increase of 5.8% over FY2017.","Allianz Global Reinsurance (Allianz Re) is a reinsurance company based in Germany. The company?s product and service portfolio and, association with Allianz SE are the key strengths, even as its overdependence on western Europe remains a major area of concern. Growing reinsurance and non-life insurance segment outlook in Germany may provide new growth avenues for the company. However, foreign currency fluctuations, solvency II, and interest rates may affect the company?s business performance",Koeniginstrasse 28,,80802,,,,12,,www.allianzre.com,1980,Products:  Casualty Reinsurance Property Reinsurance Engineering Reinsurance Marine Reinsurance Credit Reinsurance Agricultural Reinsurance Motor Reinsurance Life and Health Reinsurance,Services:  Risk Management Services  Expert and Underwriting Services,,Parent,Germany,,Munich,Financial Services,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
109413,Schwarz Gruppe,Private,1900-01-00,142844.77,500000,49 7132 3078860,"Schwarz Gruppe (Schwarz), a subsidiary of Dieter Schwarz Stiftung gemeinnutzige GmbH, owns and operates supermarkets, food stores, hypermarkets and discount stores. It operates stores through two brands, Lidl and Kaufland. The company offers products from groceries, kitchen and household goods, fresh produce, dairy products, sports and electronic goods, bread and bakery products, alcohol free beverages, and garden and hardware goods. It also produces baked goods, chocolates, dried fruit, mineral water and soft drinks, and ice cream under Schwarz Produktion brand; and carries out waste and recycling services under PreZero name. Schwarz operates 12,900 stores in 33 countries including Germany, the Czech Republic, Slovakia, Poland, Romania, Bulgaria, France, Hungary, Greece, Malta, the UK, Portugal, Sweden and Croatia. It serves 5.6 billion customers per annum. Schwarz is headquartered in Neckarsulm, Baden-Wurttemberg, Germany.",,,Stiftsbergstrasse 1,74172,,,,12,,www.gruppe.schwarz/en/,1930,Products:  Baby Products  Bakery Items Beer and Wine  Dairy Products  Floral Items  Fresh Produce Goods Frozen Food Health and Beauty Items Meat and Poultry Frozen Goods Seafood Electronic Goods Garden and Hardware Products Kitchen and Household Items Fashion Accessories Drug Sport Goods Chocolates and Dried Fruit Mineral water and Soft Drinks,Services:  Waste and Recycling Services,Brands:  Lidl Kaufland Schwarz Produktion PreZero,Subsidiary,Germany,Baden-Wurttemberg,Neckarsulm,Retailing,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
102957,Allianz SE,Public,1900-01-08,128343.59,150269,49 89 38000,"Allianz SE (Allianz), a provider of global insurance and asset management services, offers life, and property and casualty (P&C) insurance products, under the Allianz and Euler Hermes brands. Its insurance offerings cover motor, liability, homeowner, accident, travel and assistance, marine, aviation, and transport. It also offers term insurance, endowment and retirement plans, and pension products. Allianz offers a wide range of products, services, and solutions in asset management. Its asset management products include fixed income, equities, and alternative investments. The company provides asset management services to third-party investors under the PIMCO brand. Through its subsidiaries, the company provides its products and services to clients worldwide. Allianz is headquartered in Munich, Germany.    Allianz reported gross premiums written of EUR82,986 million for the fiscal year ended December 2020 (FY2020), which showed an increase of 0.1% over that in FY2019. Its net premiums earned stood at EUR75,714 million in FY2020, which indicated a decrease of 0.3% over that in FY2019.","Allianz SE (Allianz) is a leading insurance company, based in Germany. Solvency position, cash position and cost efficiency are the company?s key strengths, even as its business performance of Life/Health segment remains an area for concern. Strategic acquisitions and strategic growth initiatives and growing insurance industry in Germany will present growth opportunities to the company. However, Solvency II regime, coronavirus outbreak and competition will continue to present operational challenges.",Koeniginstrasse 28,,80802,ALV,A4687,,12,,www.allianz.com,1890,"Property and Casualty Insurance:  Motor Insurance (Liability and Own Damage) Liability Insurance Homeowner Insurance Accident Insurance Travel and Assistance Insurance Property Insurance Motor Fleet Insurance Directors? and Officers? Liability Insurance Credit Insurance Marine, Aviation and Transport Insurance  Life and Health Insurance  Endowment Plans Annuity Products Term Plans Disability Insurance Investment-Oriented Products Private Health Insurance Group Life Products Pension Products Retirement Plans Investment Products",Asset Management Banking Services,Allianz Euler Hermes PIMCO,Parent,Germany,,Muenchen,Financial Services,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,7759.92,17685.82,0,27591.2,1208404.01,1116268.75,0.85,100327.7,122832.81,13.62,,0,0,0,6.05,13.78,8.53,0,0.66,1.46,8.42,124.53,0,37.04,20.25,-13.99,42.46,8.55,0,196.15,58.89,9.6,4.26,31.45,11.93,86.22,,0,0,0.44,0.31,0.14,0.11,1.29,0.11,0,9.04,0,0,0,45298.77,749209.75,89881.16,13.3,10.99,4.36,0.1,8.91,0.85,105584.11
377,Deutsche Telekom AG,Public,1900-01-25,115137.94,216265,49 228 1810,"Deutsche Telekom AG (Deutsche Telekom) is a provider of integrated telecommunication information technology services. It provides mobile communications, IPTV products and services for consumers, fixed network, internet and information and communication technology (ICT) for business and corporate customers across the world. The company also offers cloud-based services including tailored infrastructure, international networks, platforms and software; and classical ICT services and legacy systems, digital mobile telephony voice services and data services such as SMS and mobile internet to its business customers. Deutsche Telekom offers its services under T-Mobile, T-Systems and Metro brands. The company has business presence across Europe, Africa, Asia and the Americas. Deutsche Telekom is headquartered in Bonn, North Rhine-Westphalia, Germany.","Deutsche Telekom AG (Deutsche Telekom) is a provider of integrated telecommunications services. Financial performance, customer base, liquidity position and R&D are the company's major strengths, whereas huge debt remains a cause for concern. Mobile 5G commercialization market, global wireless telecommunication services market and strategic initiatives are likely to offer growth opportunities to the company. However, intense competition, stringent regulations, and changing technology could affect its business operations.",Friedrich-Ebert-Allee 140,,53113,DTE,A469F,,12,49 228 18194004,www.telekom.com,1989,Products:  Mobile Handsets Internet Devices SmartTV,Services:  Fixed Line Communication Services Wireless Communication Services ICT Solutions Fixed Line and Wireless Internet Services Data Services Voice Telephony Digital Mobile Telephony Voice Services Computing and Desktop Services Systems Integration Broadband Services Television and Entertainment Services StreamOn,Brands:  T-Home T-Mobile T-Systems,Parent,Germany,,Bonn,Technology and Communications,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4741.22,14596.44,0,14750.34,302002.96,261052.22,2.35,88891.43,273831.72,19.29,,0,0,58.5,4.12,12.68,8.59,140.96,1.91,5.62,11.58,16.12,8103.8,40.6,29.56,7.58,35.39,25.42,-101.92,7.57,2.73,0,3.82,1.75,19.62,87.32,,1,0.93,3.8,0.79,3.43,0.46,18.51,0.44,3.26,1.27,19.66,0,639.23,19231.04,467015,79583.88,19.29,27.68,3.82,0.91,7.16,2.35,240205.17
103050,Bayerische Motoren Werke AG,Public,###############################################################################################################################################################################################################################################################,112847.7,126016,49 89 3820,"Bayerische Motoren Werke AG (BMW) is an automotive company, that develops, manufactures, and sells automobiles and motorcycles, spare parts and accessories, and engines. The company also offers deposit business, retail customer and dealer financing, insurance, fleet business, and car leasing services. BMW provides products and services related to the machinery and metal-working industry. It markets products under the BMW, MINI, Rolls-Royce, Alphabet, John Cooper Works, Charge Now, and Motorrad brands. The company serves customers in Europe, the Americas, Asia, and other regions; and has production and assembly facilities, and sales network across the world. BMW is headquartered in Munich, Bayern, Germany.","Bayerische Motoren Werke AG (BMW) develops, manufactures, and sells automobiles and motorcycles, spare parts, and accessories. Market position enables, R&D, and liquidity position are its strengths, even as financial performance and product recall could be causes for concern. Global automotive manufacturing market, market outlook for electric vehicles, and strategic initiatives are likely to provide growth opportunities to the company. However, foreign exchange risks, raw material price fluctuations, and competition could affect its operations.",Petuelring 130,,80788,BMW,A2EC7,,12,49 89 3827025858,www.bmwgroup.com,1916,Products:  Passenger Cars Engines Motorcycles Vehicle Parts and Accessories Spare Parts,Services:  Fleet Management Services Financial and Leasing Services,Brands:  BMW MINI Rolls-Royce Alphabet BMW Motorrad John Cooper Works Charge Now,Parent,Germany,,Muenchen,Automotive,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4303.47,5506.16,0,15432.06,246988.14,177572.95,1.46,67353.49,173095.55,17.12,,0,0,13.72,3.81,4.88,5.28,15.9,1.7,3.34,6.2,7.45,49.07,-18.31,-24.6,-23.19,-34.83,-5.01,22.97,92.3,20.52,1.9,2.59,6.49,8.88,95.12,,1.14,0.93,1.73,0.63,1.42,0.45,6.21,0.68,1.15,1.53,5.55,0,10.06,29956.51,785535.2,59827.64,16.45,28.59,2.69,0.69,13.14,1.46,149313.42
115604,Robert Bosch GmbH,Private,1900-01-00,81504.74,395029,49 711 40040990,"Robert Bosch GmbH (Bosch) is a subsidiary of Robert Bosch Stiftung GmbH. It is a supplier of technology and services. The company offers a wide range of products and solutions such as auto parts and accessories, eBike systems, motor vehicle technology, household appliances, security systems, solar inverters, packaging technology, industry solutions and business process management solutions. Along with sales and service partners, subsidiaries and regional companies, the company serves customers in the automobile industry, consumer electronics and BPO industries across in the Americas, Europe, Asia Pacific and Africa. Bosch is headquartered in Stuttgart, Germany.","Robert Bosch GmbH (Bosch) is one of the leading global suppliers of technology products and services. Strong research and development capabilities, operational network and growth in Consumer Goods Segment are the major strengths of company, even as decrease in business performance and patent infringement issues could be the cause for concern. In the future, increasing competition, changing technological trends and growing counterfeit goods market could affect the company?s operational performance. However, Market Outlook for Electric Vehicles, strategic collaborations and automotive aftermarket for the US are likely to present as the new growth opportunities to the company.",,"Robert-Bosch-Platz 1, Bosch Service Center",70442,,,,12,,www.bosch.com,1886,Products:  Automotive Electronics Automotive Aftermarket Chassis Systems Control Chassis Systems Brakes Car Multimedia Diesel Systems Electrical Drives Gasoline Systems Garden Tools Mobile Communication Products Steering Systems Starter Motors and Generators Electric Machinery Hydraulic machinery Pneumatic Machinery Power Tools Water Heaters Heating Systems Household Appliances Wind-Turbine Gearboxes Solar PV Systems Sensors,"Services:  Security Technology Packaging Design and Manufacture Drive, Control and Motion Technologies Communication services Garage Services Financial solutions Security systems e-mobility solutions",Brands:  AutoCrew Beissbarth Bosch Car Service  Rexroth  Buderus CST/berger  CoremanNet  Dakon Diablo Dremel  Drivelog Dynacord Electro-Voice FHP Freud  HC-Cargo Hawera IVT Junkers Nefit  OTC RTS RotoZip sia Abrasives  Skil Skil Masters Telex Unipoint,Subsidiary,Germany,,Postfach,Automotive,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1231,REWE Group,Private,1900-01-00,77782.57,256162,49 0 2211490,"REWE Group (REWE) is a diversified retail and tourism group that operates supermarkets, consumer stores, specialist stores, discount stores, drug stores, partner stores and online channels. The company offers food products, cosmetics, fragrances, DIY goods and general merchandise through diverse retail formats. The company markets products under REWE To Go, toom, nahkauf, Lekkerland, Fischer, Billa, DERTOUR, Meier's Weltreisen, and PENNY MARKET brands.    REWE operates travel agency chains, franchise sales channels and online portals and manages tour operators, destination agencies and hotels under the DER Touristik brand. The company has business presence in Germany, Austria, Czech Republic, Italy, Hungary, Russia, Romania, Slovakia, Bulgaria, Switzerland, the UK, Ukraine, Croatia, Poland, and Nordic countries which include Denmark, Finland, Norway and Sweden. REWE is headquartered in Cologne, Rheinland-Pfalz, Germany.","REWE Group (REWE) is a retail and tourism business group. Revenue growth, multi- format store network, and brand portfolio are the company?s major strengths, where as liquidity ratio remains as a cause for concern. Travel and tourism industry in Germany, Positive outlook for online retailing in Germany, food and grocery market in Europe and strategic initiatives are likely to offer growth opportunities to the company. However, shortage of foreign exchange risks, intense competition, and socio-political risk could affect the company's business operations.",Domstrasse 20,,50668,,,,12,,www.rewe-group.com,1927,Products:  Food Products Beverages Fragrances Cosmetics Outdoor Furniture Decorative Items DIY goods Green Products General Merchandise,Services:  Boarding and Lodging Services Hospitality Services Travel and Tourism Services Dining Services Online Grocery Retailing Online Furniture and Home Accessories Retailing Online Distribution of Pet Food and Pet Accessories Energy Services,Brand:  REWE REWE.de Lieferservice REWE to go toom Getrankemakrt nahkauf Akzenta Penny ADEG Glocken Backerei Wilhelm Brandenburg Rewe Digital ZooRoyal Kolner Weinkeller Weinfreunde Billa Merkur AGM BIPA IKI Lekkerland Conway Toom DER Touristik DER DERPART DERTOUR Jahn Reisen ITS Primasol EXIM Holding Fisher Group REWE Systems Fursie,Parent,Germany,Rheinland-Pfalz,Cologne,Retailing,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
143524,Deutsche Post AG,Public,1900-01-05,76158.23,580612,49 228 1820,"Deutsche Post AG (DPDHL), d/b/a Deutsche Post DHL Group, is a provider of mail and logistics services. It offers logistics services under the brand name, DHL, and postal services under the brand name, Deutsche Post. The company provides national and international mail and parcel services; outsourcing and system solutions; international express; air freight, ocean freight and overland freight forwarding; contract logistics; e-commerce; and supply chain management services. The company also offers dialogue marketing services, press distribution services, and electronic services that are associated with mail delivery. It serves individuals and business customers across Europe, the Americas, the Middle East and Africa, and Asia-Pacific. DPDHL is headquartered in Bonn, North Rhine-Westphalia, Germany.","Deutsche Post AG (DPDHL), d/b/a Deutsche Post DHL Group, is a provider of logistics services. Strong operational capability, operating performance and organizational restructures are the company's key strengths, even as limited financial leverage remains a cause for concern. Growing world air cargo industry, strategic growth initiatives, strategic partnerships and new service launches could provide new opportunities to the company. However, currency fluctuations, regulatory risks and impact of COVID-19 pandemic could affect the company's performance.",Charles-De-Gaulle-Strasse 20,,53113,DPW,A2F0E,,12,49 228 18263299,www.dpdhl.com,1995,,Services:  Mail and Parcel Services Dialog Marketing Services Outsourcing and System Solutions for the Mail Business International Express Deliveries Air Freight Ocean Freight Road Freight Contract Logistics Supply Chain Management E-Commerce Logistics,Brands:  DHL Deutsche Post,Parent,Germany,,Bonn,Transport and Logistics,,0,0,0,,0,,0,0.00,,0,,,,,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,3396.03,5525.54,0,3226.17,63049.48,47343.82,1.17,70943.5,89559.34,21.82,,0,0,50.85,4.46,7.26,6.24,103.47,5.54,12.78,21.62,22.38,555.85,11.07,26.56,13.57,17.42,5.47,-147.89,11.12,3.62,1.35,2.19,2.85,35.35,92.74,,1.05,1.02,1.38,0.58,0.96,1.24,4.37,1.76,4.01,3.09,78.64,0,76.61,5130.79,115061.35,62894.66,21.82,18.84,2.19,1.42,9.82,1.17,78561.45
