"","Organization","Organization_Legal_Name","Country_Organization_Account","Report_Title","Publication_Year","Release_Date","Report_Type","Claim","Period_From","Period_To","Report_PDF_Address","Report_claim_location_PDF","Content_index_location_PDF","Report_HTML_Address","Content_Index_URL","Report_claim_location_URL","Report_DRT_Address","Report_Claim_Location_DRT","Content_index_location_DRT","pdf_contents_page","folder","filename","request_status","type_dld","url_dld"
"2609","Renault Brazil","Renault do Brasil","Brazil","Relatorio de Sustentabilidade 2018",2019,"26-06-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","http://institutorenault.com.br/relatorio_sustentabilidade/download_arquivo/13/relatorio-de-sustentabilidade-2018-destaque-pt_2019-07-08_16-03-21.pdf","3","121","","","","","","","121","renault_brazil","relatorio_de_sustentabilidade_2018.pdf","","",""
"3281","Van Lanschot Kempen","Van Lanschot Kempen NV","Netherlands","annual report 2019",2020,"27-02-20","GRI-Standards","In accordance - Comprehensive","01-01-19","31-12-19","https://media.vanlanschot.nl/media/pdfs/annual-report-2019-van-lanschot-kempen.pdf","1","","","https://www.vanlanschotkempen.com/media/3702/gri-content-index-2019-van-lanschot-kempen.pdf","","","","","","van_lanschot_ke","annual_report_2019.pdf","200","application/pdf","https://media.vanlanschot.nl/media/pdfs/annual-report-2019-van-lanschot-kempen.pdf"
"2954","Sungevity international","Sungevity Netherland BV","Netherlands","Sungevity International Impact Report 2018",2019,"04-04-19","GRI-Standards","GRI-Referenced","01-01-18","31-12-18","https://www.sungevity.nl/media/Sungevity-Impact-Report-2018.pdf","16","111","https://www.sungevity.nl/impactreport","","","","","","111","sungevity_inter","sungevity_international_impact_report_2018.pdf","200","application/pdf","https://www.sungevity.nl/media/Sungevity-Impact-Report-2018.pdf"
"2029","Lojas Americanas","Lojas Americanas S.A","Brazil","Relatorio Anual 2019",2020,"03-06-20","GRI-Standards","In accordance - Core","01-01-19","31-12-19","https://hotsites.lasa.com.br/relatorioanual2019.pdf","7","91","https://hotsites.lasa.com.br/relatorioanual2019.pdf","","","","","","91","lojas_americana","relatorio_anual_2019.pdf","","",""
"2597","Refineria de Cartagena S.A.S.","REFINERIADECARTAGENASA","Colombia","Refineria de Cartagena S. A. S. Informe de Sostenibilidad 2018. Somos el combustible para un mejor manana",2019,"15-10-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","https://drive.google.com/file/d/1YVQqF0IAsW9SHbr6nO6eVlxnZfarX9TF/view","9","63","","","","","","","63","refineria_de_ca","refineria_de_cartagena_s_a_s_informe_de_sostenibilidad_2018_somos_el_combustible_para_un_mejor_manana.pdf","","",""
"1374","GEDI Spa","GEDI Gruppo Editoriale Spa","Italy","Sustainability Report 2018",2019,"19-04-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","http://www.gedispa.it/fileadmin//user_upload/GEDI_DNF2018_EN.pdf","5","71","","","","","","","71","gedi_spa","sustainability_report_2018.pdf","200","application/pdf","http://www.gedispa.it/fileadmin//user_upload/GEDI_DNF2018_EN.pdf"
"233","Asepeyo","Asepeyo, Mutua colaboradora con la Seguridad Social, numero 151","Spain","Informe anual y Memoria de sostenibilidad Asepeyo. Ejercicio 2018",2019,"19-09-19","GRI-Standards","In accordance - Comprehensive","01-01-18","31-12-18","https://www.asepeyo.es/wp-content/uploads/Informe-anual-y-memoria-de-sostenibilidad-2018.pdf","130","130","","","","","","","130","asepeyo","informe_anual_y_memoria_de_sostenibilidad_asepeyo_ejercicio_2018.pdf","200","application/pdf","https://www.asepeyo.es/wp-content/uploads/Informe-anual-y-memoria-de-sostenibilidad-2018.pdf"
"1475","Grupo Cooperativo Cajamar","Grupo Cooperativo Cajamar","Spain","Informe Integrado 2017 Grupo Cooperativo Cajamar",2018,"20-05-18","GRI-Standards","In accordance - Comprehensive","01-01-17","31-12-17","https://compromisosocial.es/wp-content/uploads/2018/06/INFORME-INTEGRADO-GCC-2017.pdf","p. 102","p. 93","https://compromisosocial.es/wp-content/uploads/2018/06/INFORME-INTEGRADO-GCC-2017.pdf","","","","","","93","grupo_cooperati","informe_integrado_2017_grupo_cooperativo_cajamar.pdf","200","application/pdf","https://compromisosocial.es/wp-content/uploads/2018/06/INFORME-INTEGRADO-GCC-2017.pdf"
"437","Belimo","Belimo Holding AG","Switzerland","Annual Report 2019",2020,"09-03-20","GRI-Standards","In accordance - Core","01-01-19","31-12-19","80","82","","https://www.belimo.com/dam/epaper/epaper-Annual_Report_2019/index.html#0","https://www.belimo.com/dam/epaper/epaper-Annual_Report_2019/index.html#84","https://www.belimo.com/dam/epaper/epaper-Annual_Report_2019/index.html#82","","","","","belimo","annual_report_2019.pdf","","",""
"1119","Equinor ASA","Equinor ASA","Norway","Equinor Sustainability report 2018",2019,"20-03-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","https://www.equinor.com/content/dam/statoil/documents/sustainability-reports/2018/equinor-sustainability-report-2018.pdf","5","","","https://www.equinor.com/content/dam/statoil/documents/sustainability-reports/2018/equinor-gri-index-2018.pdf","","","","","","equinor_asa","equinor_sustainability_report_2018.pdf","200","application/pdf","https://www.equinor.com/content/dam/statoil/documents/sustainability-reports/2018/equinor-sustainability-report-2018.pdf"
